依頼主,曲名等,公開日,依頼内容,CG使用度合い,リンク,,,,,
ユキ YUKI,食虫植物,2024/09/21,歌ってみたMV制作,中程度,,,,,,
memex,アストロノーツ・テレキャスター,2024/11/10,オリジナル楽曲MV制作,一部・無し,,,,,,一部・無し
shikisai,ニューワタシ革命,2024/11/11,オリジナル楽曲MV制作,中程度,https://www.youtube.com/watch?v=eYeZ1cZ6nQY,,,,,フルCG
紫ヶ内ムゲイ＆ChumuNote,Episode X,2024/12/14,歌ってみたMV制作,中程度,,,,,,中程度
shikisai,シャワールーム・ファンタジー,2024/12/14,CG制作,,,,,,,
ユキ YUKI,ジェヘナ,2024/12/16,歌ってみたMV制作,中程度,,,,,,
Sera。,セプテントリオー,2024/12/28,オリジナル楽曲MV制作,中程度,,,,,,
魔灰えん,食虫植物,2025/01/15,歌ってみたMV制作,中程度,,,,,,
urumeiwashi,月影見し海,2025/01/20,オリジナル楽曲MV制作,フルCG,,,,,,
Dcotton,花々チック,2025/02/09,オリジナル楽曲MV制作,一部・無し,,,,,,
めんま,夢如何,2025/02/22,オリジナル楽曲MV制作,フルCG,,,,,,
Ruliea,さよならギフテッド,2025/02/24,手伝い,おはようギフテッド,,,,,,
天星睦,アルカー,2025/02/28,オリジナル楽曲MV制作,中程度,,,,,,
Kilihai,ホンカイ,2025/02/02,オリジナル楽曲MV制作,一部・無し,,,,,,
のろま,贅沢と君とカプチーノ,,歌ってみたMV制作,一部・無し,,,,,,
urumeiwashi,1st EP『水のはじまり』XFD,2025/04/11,ショートムービー制作,,,,,,,
真生まぅ,StaRt,2025/04/16,歌ってみたMV制作,一部・無し,,,,,,
うのみや,シャッターチャンス,2025/04/16,歌ってみたMV制作,一部・無し,,,,,,
shikisai,2nd Album『WORLDSEND』XFD,2025/04/18,ショートムービー制作,,,,,,,
Lidlic,完全解答Q.E.D,2025/04/23,オリジナル楽曲MV制作,中程度,,,,,,
Ruliea,2nd EP『SCOPE』クロスフェード,2025/04/23,ショートムービー制作,,,,,,,
日向こがね,不屈のアイドル,2025/04/27,歌ってみたMV制作,フル3D,,,,,,
urumeiwashi,パステル,,歌ってみたMV制作,フル3D,,,,,,
Eye,,,,中程度,,,,,,
LOLUET,,,,フル3D,,,,,,
こんにちはギフテッド,空木,,,,,,,,,
